Polling firm,Fieldwork date,"Sample
size",PVV,GL/PvdA,VVD,NSC,D66,BBB,CDA,SP,DENK,PvdD,FvD,SGP,CU,Volt,JA21,50+,Others,Lead
,,,,,,,,,,,,,,,,,,,,
,,,B5,B1,B4,B3,B2,B5,B3,B1,B1,B2,B5,B3,B3,B2,B5,B3,,
2025 election,29-Oct-25,–,16.70%,12.80%,14.20%,0.40%,16.90%,2.60%,11.80%,1.90%,2.40%,2.10%,4.50%,2.30%,1.90%,1.10%,5.90%,1.40%,1.10%,0.20%
Ipsos I&O,29 Oct 2025[*],–,15.90%,13.00%,14.70%,0.30%,17.50%,2.70%,11.90%,2.00%,2.00%,2.20%,4.10%,2.30%,1.80%,1.10%,5.90%,1.30%,1.30%,
Ipsos I&O,25–28 Oct 2025,"2,505",14.80%,15.00%,10.90%,0.70%,15.40%,3.20%,12.70%,2.70%,2.30%,2.60%,4.00%,2.40%,2.20%,1.60%,7.40%,2.10%,–,0.40%
Ipsos I&O,23–24 Oct 2025,"2,745",16.70%,15.00%,10.40%,0.50%,14.40%,2.70%,12.60%,2.80%,2.40%,3.00%,3.60%,2.50%,2.20%,2.20%,7.70%,1.30%,–,1.70%
Ipsos I&O,13–15 Oct 2025,"2,455",18.50%,13.80%,8.80%,0.70%,11.70%,2.90%,15.90%,3.00%,2.40%,3.10%,3.10%,2.30%,2.30%,2.10%,7.90%,1.60%,–,2.60%
Ipsos I&O,3–6 Oct 2025,"2,079",20.20%,14.00%,8.50%,0.60%,9.30%,2.60%,15.70%,2.60%,3.00%,3.60%,2.90%,2.60%,1.90%,3.00%,8.20%,1.30%,–,4.50%
Ipsos I&O,26–29 Sep 2025,"1,935",19.80%,14.80%,9.30%,0.40%,9.90%,3.60%,15.50%,2.90%,2.70%,2.80%,3.10%,2.50%,1.80%,2.70%,7.30%,0.80%,–,4.30%
Ipsos I&O,13–15 Sep 2025,"1,920",19.90%,14.60%,9.20%,0.20%,8.50%,2.70%,15.30%,4.00%,2.80%,3.00%,2.80%,2.20%,2.40%,2.30%,8.00%,1.00%,–,4.60%
Ipsos I&O,29 Aug – 1 Sep 2025,"1,991",19.50%,14.80%,9.70%,0.70%,7.40%,4.10%,16.10%,4.30%,2.60%,3.80%,2.00%,2.00%,2.30%,2.90%,6.10%,–,–,3.40%
Ipsos I&O,25–28 Jul 2025,"1,735",17.40%,15.20%,12.60%,1.20%,8.10%,3.00%,15.10%,4.00%,2.90%,3.80%,2.10%,2.60%,2.60%,2.50%,4.90%,–,–,2.20%
Ipsos I&O,13–16 Jun 2025,"1,969",19.20%,18.30%,15.40%,1.30%,7.20%,2.80%,13.60%,3.60%,2.40%,4.10%,2.20%,2.50%,2.20%,2.30%,2.40%,–,–,0.90%
Ipsos I&O,5–6 Jun 2025,"1,957",19.00%,16.70%,14.80%,1.70%,8.20%,2.60%,11.80%,3.50%,2.30%,5.20%,3.20%,2.60%,2.20%,2.40%,2.80%,–,–,2.30%
Ipsos I&O,9–12 May 2025,"1,877",18.30%,18.10%,16.70%,1.20%,7.70%,2.60%,11.10%,4.00%,2.50%,4.40%,2.80%,2.50%,2.40%,2.30%,2.60%,–,–,0.20%
Ipsos I&O,11–14 Apr 2025,"1,990",17.90%,16.80%,16.40%,1.30%,6.70%,3.50%,11.70%,3.60%,2.90%,4.60%,3.00%,2.10%,2.30%,2.50%,2.70%,–,–,1.10%
Ipsos I&O,14–17 Mar 2025,"2,127",19.20%,16.90%,15.50%,1.70%,7.20%,2.30%,11.20%,4.30%,3.10%,4.30%,2.40%,2.20%,2.60%,2.30%,2.70%,–,–,2.30%
Ipsos I&O,14–17 Feb 2025,"2,382",21.90%,15.40%,12.60%,2.10%,6.90%,2.90%,10.10%,5.10%,2.20%,5.60%,2.80%,2.60%,2.20%,3.10%,1.90%,–,–,6.50%
Ipsos I&O,17–20 Jan 2025,"2,267",22.00%,15.50%,13.40%,1.90%,8.20%,3.80%,10.10%,4.60%,3.20%,4.30%,2.20%,2.40%,2.50%,2.60%,1.70%,–,–,6.50%
Ipsos I&O,6–9 Dec 2024,"1,925",23.20%,14.20%,14.10%,2.10%,8.70%,3.30%,8.70%,4.50%,2.50%,4.90%,2.10%,2.10%,2.30%,2.80%,1.50%,–,–,9.00%
Ipsos I&O,9–11 Nov 2024,"2,020",23.70%,16.20%,13.90%,2.30%,7.60%,3.70%,7.30%,5.20%,2.70%,4.80%,2.30%,2.20%,2.40%,2.20%,0.80%,–,–,7.50%
Ipsos I&O,18–21 Oct 2024,"2,143",24.80%,16.70%,13.50%,2.70%,7.30%,3.60%,7.10%,4.80%,2.40%,5.20%,2.90%,2.10%,2.90%,2.60%,1.40%,–,–,8.10%
Ipsos I&O,20–23 Sep 2024,"1,950",25.90%,16.10%,11.80%,4.00%,6.90%,3.80%,7.40%,3.80%,2.60%,5.00%,3.00%,2.30%,2.50%,3.40%,1.40%,–,–,9.80%
Ipsos I&O,13–16 Sep 2024,"2,208",27.00%,15.70%,13.20%,4.40%,7.40%,3.80%,6.20%,4.40%,2.10%,4.30%,3.10%,1.80%,2.80%,3.00%,0.70%,–,–,11.30%
Ipsos,26–29 Jul 2024,"1,016",25.80%,17.30%,13.40%,7.30%,6.50%,5.20%,5.70%,2.20%,2.70%,3.60%,2.30%,2.20%,1.80%,2.20%,0.80%,–,0.90%,8.50%
Ipsos,21–24 Jun 2024,"1,017",27.70%,17.30%,13.10%,7.70%,7.80%,3.80%,4.40%,2.50%,2.30%,3.20%,2.30%,2.30%,1.80%,1.90%,1.20%,–,0.70%,10.40%
I&O Research,14–17 Jun 2024,"1,979",27.30%,17.60%,12.00%,4.60%,7.40%,4.80%,6.30%,3.20%,1.90%,4.50%,2.00%,2.60%,2.50%,2.70%,0.60%,–,0.60%,9.70%
Ipsos,24–27 May 2024,"2,048",30.50%,15.20%,12.10%,7.20%,6.80%,5.00%,4.10%,2.40%,2.40%,4.20%,2.40%,2.20%,1.90%,2.00%,0.90%,–,0.60%,15.30%
I&O Research,17–21 May 2024,"2,141",29.60%,16.60%,11.50%,5.70%,6.70%,4.60%,4.80%,3.50%,2.00%,3.30%,2.20%,2.80%,2.70%,2.80%,0.80%,–,0.30%,14.00%
I&O Research,9–12 May 2024,"1,839",30.00%,16.70%,11.80%,5.10%,6.40%,4.10%,4.90%,3.60%,1.80%,3.70%,2.50%,2.60%,2.60%,3.10%,0.80%,–,0.30%,14.50%
Ipsos,26–29 Apr 2024,"1,011",28.70%,14.70%,12.70%,7.40%,6.90%,5.50%,3.60%,2.90%,2.80%,3.60%,2.80%,2.80%,1.90%,1.60%,1.20%,–,0.90%,14.00%
Ipsos,22–25 Mar 2024,"1,016",31.10%,15.60%,12.60%,7.00%,6.60%,4.20%,4.10%,2.80%,2.30%,3.10%,2.30%,2.10%,2.30%,1.70%,1.30%,–,0.80%,15.50%
Ipsos,23–26 Feb 2024,"1,022",31.10%,15.90%,12.40%,7.00%,7.00%,5.40%,4.30%,2.20%,3.10%,2.90%,2.10%,2.40%,1.50%,1.10%,0.80%,–,0.60%,15.20%
I&O Research,9–12 Feb 2024,"2,752",31.00%,16.50%,11.10%,6.30%,6.30%,4.50%,4.50%,3.20%,1.80%,3.20%,2.20%,2.60%,2.50%,3.00%,0.70%,–,0.60%,14.50%
Ipsos,26–29 Jan 2024,"1,025",28.40%,16.00%,12.20%,11.90%,6.90%,4.20%,3.40%,2.40%,2.50%,3.00%,2.10%,2.20%,1.70%,1.70%,0.90%,–,0.50%,12.40%
Ipsos,15–18 Dec 2023,"1,052",29.80%,13.80%,11.50%,12.40%,6.10%,5.10%,2.60%,2.50%,3.10%,3.30%,1.90%,2.30%,1.90%,1.80%,0.60%,–,1.30%,16.00%
I&O Research,8–11 Dec 2023,"2,952",27.40%,14.60%,10.40%,12.50%,6.60%,5.50%,3.40%,3.60%,1.80%,3.30%,2.20%,2.30%,2.20%,2.90%,0.60%,–,0.70%,12.80%
2023 election,22-Nov-23,–,23.49%,15.75%,15.14%,12.88%,6.29%,4.65%,3.31%,3.15%,2.37%,2.25%,2.23%,2.08%,2.04%,1.71%,0.68%,0.49%,1.88%,7.74%
